run_label,run_name,artifact_key,expected_destination,reason,weight_files_found,checkpoint_dirs_found
baseline,SLID_utter-project-mHuBERT-147_1e-05_20260301_150502,tsne_language_png,reports/figures/tsne_baseline_by_language.png,missing_source_artifact_checkpoint_dirs_present_but_no_model_weights,0,2
baseline,SLID_utter-project-mHuBERT-147_1e-05_20260301_150502,tsne_speaker_png,reports/figures/tsne_baseline_by_speaker.png,missing_source_artifact_checkpoint_dirs_present_but_no_model_weights,0,2
