run_key,run_label,run_id,rank,true_language,pred_language,count
improved_dann,Improved (DANN),SLID_utter-project-mHuBERT-147_1e-05_20260305_022125,1,konkani,marathi,74
improved_dann,Improved (DANN),SLID_utter-project-mHuBERT-147_1e-05_20260305_022125,2,bodo,manipuri,45
improved_dann,Improved (DANN),SLID_utter-project-mHuBERT-147_1e-05_20260305_022125,3,dogri,punjabi,44
improved_dann,Improved (DANN),SLID_utter-project-mHuBERT-147_1e-05_20260305_022125,4,hindi,urdu,39
improved_dann,Improved (DANN),SLID_utter-project-mHuBERT-147_1e-05_20260305_022125,5,nepali,manipuri,33
improved_dann,Improved (DANN),SLID_utter-project-mHuBERT-147_1e-05_20260305_022125,6,maithili,gujarati,30
improved_dann,Improved (DANN),SLID_utter-project-mHuBERT-147_1e-05_20260305_022125,7,sindhi,gujarati,28
improved_dann,Improved (DANN),SLID_utter-project-mHuBERT-147_1e-05_20260305_022125,8,bengali,odia,26
improved_dann,Improved (DANN),SLID_utter-project-mHuBERT-147_1e-05_20260305_022125,9,kannada,telugu,26
improved_dann,Improved (DANN),SLID_utter-project-mHuBERT-147_1e-05_20260305_022125,10,hindi,maithili,24
improved_dann,Improved (DANN),SLID_utter-project-mHuBERT-147_1e-05_20260305_022125,11,bengali,gujarati,21
improved_dann,Improved (DANN),SLID_utter-project-mHuBERT-147_1e-05_20260305_022125,12,malayalam,tamil,21
improved_dann,Improved (DANN),SLID_utter-project-mHuBERT-147_1e-05_20260305_022125,13,urdu,hindi,19
improved_dann,Improved (DANN),SLID_utter-project-mHuBERT-147_1e-05_20260305_022125,14,hindi,gujarati,17
improved_dann,Improved (DANN),SLID_utter-project-mHuBERT-147_1e-05_20260305_022125,15,nepali,odia,17
