run_key,run_label,run_id,eval_accuracy,eval_macro_f1,eval_loss,best_global_step,best_metric,best_model_checkpoint
baseline_untuned,Baseline (untuned),SLID_utter-project-mHuBERT-147_1e-05_20260301_094826,0.4675757575757576,0.4141552254717174,2.2854321002960205,6200,0.4675757575757576,checkpoint-6200
tuned_ref,Tuned reference (no mitigation),SLID_utter-project-mHuBERT-147_1e-05_20260301_150502,0.526969696969697,0.4748076409415872,2.162879228591919,6000,0.526969696969697,checkpoint-6000
mitigation1,Mitigation 1 (data-centric),SLID_utter-project-mHuBERT-147_1e-05_20260302_111613,0.5387878787878788,0.48676085136150926,2.150413990020752,5800,0.5387878787878788,checkpoint-5800
improved_dann,Improved (DANN),SLID_utter-project-mHuBERT-147_1e-05_20260305_022125,0.5575757575757576,0.5425585530223015,1.8814845085144043,6500,0.5425585530223015,checkpoint-6500
